sample	condition	type
Cov1.p1	untreated	single-read
Cov2.p2	untreated	single-read
Cov3.p3	untreated	single-read
Cov4.p4	untreated	single-read
Cov5.p5	untreated	single-read
Cov6.p6	untreated	single-read
Cov7.p7	untreated	single-read
Cov8.p8	untreated	single-read
Cov9.p9	untreated	single-read
Cov10.p10	untreated	single-read
H1.p1	treated	single-read
H2.p2	treated	single-read
H3.p3	treated	single-read
H4.p4	treated	single-read
H5.p5	treated	single-read
H6.p6	treated	single-read
H7.p7	treated	single-read
H8.p8	treated	single-read
H9.p9	treated	single-read
H10.p10	treated	single-read
